createdAt;createdBy;modifiedAt;modifiedBy;ID;descr;owner;timeline
2021-07-24T09:49:10.735Z;Foxtrot Oscar Romeo;2019-06-19T17:15:48.935Z;Echo Whiskey Golf;dbf5da2d-0623-41e9-9620-5402d5574a84;Hotel;Oscar Charlie Hotel;Quebec Charlie Java
2018-06-08T08:21:03.782Z;Tango Victor Kilo;2021-02-19T20:01:46.262Z;Zulu Echo;0d9fe3c4-9bc9-40fd-9098-4dd20853515d;Kilo Oscar;Tango Kilo Golf;Charlie
2022-06-21T12:17:27.517Z;Quebec Alfa;2020-10-20T02:14:27.902Z;Oscar Kilo Sierra;39c3d8ca-9664-493f-aea0-320f93699461;Hotel Alfa Kilo;Mike;Bravo
2018-01-22T06:13:36.412Z;India Uniform Kilo;2019-10-23T16:04:24.418Z;Quebec Alfa;3490b418-9876-45ec-87ac-41402ed3595d;Oscar Victor;Hotel Tango Foxtrot;Yankee Juliett
2018-06-01T03:56:47.090Z;Hotel Tango Foxtrot;2019-08-18T06:42:21.202Z;Foxtrot Mike;acc60151-e697-413a-8bf0-69a2e11b75f2;Bravo;Echo;Oscar Charlie Hotel
2022-09-29T05:14:57.327Z;Tango Kilo Golf;2019-01-11T10:20:10.967Z;Mike Charlie;a4eeff94-84da-4c43-887d-ac27c6c0bc08;Sierra Zulu;Yankee November Mike;Uniform
2021-12-02T10:46:11.137Z;Tango Victor;2020-11-12T20:19:48.378Z;Golf;6f3c4f1a-1ce5-4589-ae30-944ccb5c35ce;Lima Quebec;Uniform Victor;X-ray
2022-05-06T06:47:31.577Z;Victor;2021-12-04T00:30:29.609Z;X-ray Yankee India;72577dc8-3271-4e47-8d46-e6944c98121f;November;Java Hotel;Quebec Victor
2022-01-21T11:32:17.153Z;Kilo Foxtrot Quebec;2022-05-05T14:00:49.982Z;Bravo Whiskey;c9980e8b-66bd-4d30-9a50-aba1f6189f80;Kilo;X-ray;Quebec X-ray Lima
2021-01-19T15:44:20.749Z;Bravo;2019-02-10T20:58:29.792Z;Delta;4c502e4e-097a-45c5-86ea-d3ff8e84e057;Kilo X-ray Alfa;Yankee Zulu;Bravo Echo